src_ip,src_port,dest_ip,dest_port,proto,start_time,flow_alerted
34.250.45.31,21169,92.224.118.42,50289,tcp,15,False
57.8.253.95,26836,92.224.118.42,50289,tcp,15,False
107.114.76.6,59947,92.224.118.42,50289,tcp,3,False
92.224.118.42,50289,107.114.76.6,28042,tcp,0,False
57.8.253.95,26831,92.224.118.42,50289,tcp,2,False
15.224.201.54,46263,92.224.118.42,50289,tcp,9,False
34.250.45.31,14006,92.224.118.42,50289,tcp,0,False
31.205.117.12,14920,92.224.118.42,50289,tcp,14,False
113.222.47.206,6305,92.224.118.42,50289,tcp,7,False
107.114.76.6,59949,92.224.118.42,50289,tcp,11,False
55.57.45.255,49676,92.224.118.42,50289,tcp,12,False
57.8.253.95,26835,92.224.118.42,50289,tcp,12,False
107.114.76.6,59948,92.224.118.42,50289,tcp,7,False
33.208.59.249,2557,92.224.118.42,50289,tcp,12,False
107.114.76.6,59950,92.224.118.42,50289,tcp,16,False
31.205.117.12,22608,92.224.118.42,50289,tcp,0,False
55.57.45.255,59690,92.224.118.42,50289,tcp,0,False
31.205.117.12,14917,92.224.118.42,50289,tcp,3,False
33.208.59.249,2554,92.224.118.42,50289,tcp,5,False
55.57.45.255,49673,92.224.118.42,50289,tcp,4,False
24.171.102.112,34896,92.224.118.42,50289,tcp,15,False
92.224.118.42,50289,55.57.45.255,13945,tcp,0,False
40.62.174.157,63228,92.224.118.42,50289,tcp,17,False
33.208.59.249,2559,92.224.118.42,50289,tcp,17,False
34.250.45.31,21167,92.224.118.42,50289,tcp,10,False
36.117.138.38,24073,92.224.118.42,50289,tcp,15,False
57.8.253.95,26837,92.224.118.42,50289,tcp,17,False
92.224.118.42,50289,33.208.59.249,43393,tcp,0,False
92.224.118.42,50289,113.222.47.206,60351,tcp,0,False
34.250.45.31,21168,92.224.118.42,50289,tcp,12,False
21.64.168.183,47693,92.224.118.42,50289,tcp,0,False
21.64.168.183,13567,92.224.118.42,50289,tcp,15,False
57.8.253.95,26832,92.224.118.42,50289,tcp,4,False
40.62.174.157,63226,92.224.118.42,50289,tcp,10,False
55.57.45.255,49674,92.224.118.42,50289,tcp,7,False
36.117.138.38,24070,92.224.118.42,50289,tcp,4,False
36.117.138.38,24072,92.224.118.42,50289,tcp,11,False
24.171.102.112,34893,92.224.118.42,50289,tcp,7,False
24.171.102.112,30605,92.224.118.42,50289,tcp,0,False
21.64.168.183,13566,92.224.118.42,50289,tcp,11,False
15.224.201.54,46265,92.224.118.42,50289,tcp,14,False
92.224.118.42,50289,15.224.201.54,15646,tcp,0,False
15.224.201.54,46261,92.224.118.42,50289,tcp,4,False
40.62.174.157,27567,92.224.118.42,50289,tcp,0,False
55.57.45.255,49677,92.224.118.42,50289,tcp,14,False
92.224.118.42,50289,53.37.60.144,46570,tcp,0,False
24.171.102.112,34894,92.224.118.42,50289,tcp,10,False
113.222.47.206,6308,92.224.118.42,50289,tcp,14,False
24.171.102.112,34895,92.224.118.42,50289,tcp,12,False
34.250.45.31,21166,92.224.118.42,50289,tcp,8,False
57.8.253.95,23036,92.224.118.42,50289,tcp,0,False
53.37.60.144,55887,92.224.118.42,50289,tcp,15,False
92.224.118.42,50289,31.205.117.12,25224,tcp,0,False
92.224.118.42,50289,40.62.174.157,28262,tcp,0,False
92.224.118.42,50289,34.250.45.31,57158,tcp,0,False
92.224.118.42,50289,24.171.102.112,61635,tcp,0,False
92.224.118.42,50289,36.117.138.38,63404,tcp,0,False
53.37.60.144,55886,92.224.118.42,50289,tcp,9,False
31.205.117.12,14918,92.224.118.42,50289,tcp,6,False
55.57.45.255,49675,92.224.118.42,50289,tcp,9,False
24.171.102.112,34892,92.224.118.42,50289,tcp,5,False
113.222.47.206,6303,92.224.118.42,50289,tcp,2,False
113.222.47.206,34577,92.224.118.42,50289,tcp,0,False
57.8.253.95,26834,92.224.118.42,50289,tcp,10,False
15.224.201.54,46260,92.224.118.42,50289,tcp,2,False
15.224.201.54,40092,92.224.118.42,50289,tcp,0,False
21.64.168.183,13564,92.224.118.42,50289,tcp,3,False
113.222.47.206,6306,92.224.118.42,50289,tcp,9,False
15.224.201.54,46264,92.224.118.42,50289,tcp,11,False
40.62.174.157,63224,92.224.118.42,50289,tcp,3,False
55.57.45.255,49672,92.224.118.42,50289,tcp,2,False
57.8.253.95,26833,92.224.118.42,50289,tcp,7,False
36.117.138.38,64773,92.224.118.42,50289,tcp,0,False
113.222.47.206,6304,92.224.118.42,50289,tcp,4,False
53.37.60.144,55885,92.224.118.42,50289,tcp,4,False
33.208.59.249,4683,92.224.118.42,50289,tcp,0,False
31.205.117.12,14921,92.224.118.42,50289,tcp,17,False
33.208.59.249,2553,92.224.118.42,50289,tcp,2,False
113.222.47.206,6309,92.224.118.42,50289,tcp,17,False
40.62.174.157,63225,92.224.118.42,50289,tcp,7,False
34.250.45.31,21164,92.224.118.42,50289,tcp,2,False
113.222.47.206,6307,92.224.118.42,50289,tcp,11,False
33.208.59.249,2558,92.224.118.42,50289,tcp,15,False
34.250.45.31,21165,92.224.118.42,50289,tcp,5,False
24.171.102.112,34897,92.224.118.42,50289,tcp,17,False
15.224.201.54,46266,92.224.118.42,50289,tcp,16,False
92.224.118.42,50289,57.8.253.95,25338,tcp,0,False
34.250.45.31,21170,92.224.118.42,50289,tcp,17,False
24.171.102.112,34891,92.224.118.42,50289,tcp,2,False
36.117.138.38,24071,92.224.118.42,50289,tcp,8,False
33.208.59.249,2556,92.224.118.42,50289,tcp,9,False
40.62.174.157,63227,92.224.118.42,50289,tcp,14,False
31.205.117.12,14919,92.224.118.42,50289,tcp,11,False
33.208.59.249,2555,92.224.118.42,50289,tcp,7,False
55.57.45.255,49678,92.224.118.42,50289,tcp,17,False
92.224.118.42,50289,21.64.168.183,6489,tcp,0,False
107.114.76.6,4225,92.224.118.42,50289,tcp,0,False
53.37.60.144,38391,92.224.118.42,50289,tcp,0,False
21.64.168.183,13565,92.224.118.42,50289,tcp,7,False
15.224.201.54,46262,92.224.118.42,50289,tcp,7,False
192.168.3.131,56031,65.54.95.140,80,tcp,1295981569,False
192.168.3.131,55955,207.46.148.38,80,tcp,1295981543,False
192.168.3.131,57011,72.14.213.138,80,tcp,1295981542,False
192.168.3.131,58265,208.82.236.129,80,tcp,1295981546,False
192.168.3.131,58264,208.82.236.129,80,tcp,1295981546,False
192.168.3.131,57757,239.255.255.250,1900,udp,1295981559,False
192.168.3.131,55963,65.54.95.140,80,tcp,1295981543,False
192.168.3.131,56053,66.235.133.62,80,tcp,1295981571,True
192.168.3.131,52213,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,56073,65.54.95.75,80,tcp,1295981573,False
192.168.3.131,56059,65.54.95.39,80,tcp,1295981571,False
192.168.3.131,56066,65.54.95.75,80,tcp,1295981572,False
192.168.3.131,56012,65.54.95.140,80,tcp,1295981564,False
72.14.213.105,443,192.168.3.131,57721,tcp,1295981549,False
192.168.3.131,54600,224.0.0.252,5355,udp,1295981573,False
192.168.3.131,52248,65.54.95.39,80,tcp,1295981577,False
192.168.3.131,52206,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,58352,208.82.236.130,80,tcp,1295981585,False
192.168.3.131,56030,65.54.95.140,80,tcp,1295981569,False
192.168.3.131,52204,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,55950,72.14.213.102,80,tcp,1295981542,False
192.168.3.131,52212,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,52215,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,56033,65.54.95.140,80,tcp,1295981569,False
192.168.3.131,56029,65.54.95.142,80,tcp,1295981569,False
192.168.3.131,68,255.255.255.255,67,udp,1295981573,False
192.168.3.131,56055,65.54.95.39,80,tcp,1295981571,False
192.168.3.131,52257,65.54.95.39,80,tcp,1295981582,False
192.168.3.131,56038,65.54.95.140,80,tcp,1295981569,False
192.168.3.131,56070,65.54.95.68,80,tcp,1295981572,False
192.168.3.131,56044,65.54.95.216,80,tcp,1295981570,False
192.168.3.131,58304,208.82.236.129,80,tcp,1295981563,False
192.168.3.131,58360,208.82.236.129,80,tcp,1295981588,False
192.168.3.131,56037,65.54.95.140,80,tcp,1295981569,False
192.168.3.131,56026,65.54.95.140,80,tcp,1295981569,False
192.168.3.131,58310,208.82.236.129,80,tcp,1295981565,False
192.168.3.131,56091,65.54.95.75,80,tcp,1295981581,False
192.168.3.131,52201,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,56092,65.54.95.68,80,tcp,1295981581,False
192.168.3.131,52209,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,52207,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,52214,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,52203,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,56041,65.54.95.140,80,tcp,1295981569,False
192.168.3.131,55956,66.235.139.121,80,tcp,1295981543,False
192.168.3.131,56042,207.46.148.38,80,tcp,1295981569,False
192.168.3.131,56056,65.54.95.39,80,tcp,1295981571,False
192.168.3.131,58272,208.82.236.129,80,tcp,1295981549,False
192.168.3.131,56135,207.46.148.38,80,tcp,1295981596,False
192.168.3.131,56040,65.54.95.140,80,tcp,1295981569,False
192.168.3.131,56132,65.54.95.140,80,tcp,1295981596,False
192.168.3.131,52210,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,58353,208.82.236.130,80,tcp,1295981585,False
172.16.255.1,137,172.16.255.255,137,udp,1295981640,False
192.168.3.131,58388,208.82.236.129,80,tcp,1295981599,False
192.168.3.131,58327,208.82.236.129,80,tcp,1295981573,False
192.168.3.131,56039,65.54.95.140,80,tcp,1295981569,False
192.168.3.131,56057,65.54.95.66,80,tcp,1295981571,False
192.168.3.131,58377,208.82.236.130,80,tcp,1295981595,False
192.168.3.131,56129,207.46.148.38,80,tcp,1295981596,False
192.168.3.131,56052,207.46.148.38,80,tcp,1295981571,False
192.168.3.131,56064,65.54.95.75,80,tcp,1295981571,False
192.168.3.131,58389,208.82.236.130,80,tcp,1295981599,False
192.168.3.131,56090,65.54.95.75,80,tcp,1295981581,False
192.168.3.131,58305,208.82.236.129,80,tcp,1295981564,False
192.168.3.131,58303,208.82.236.129,80,tcp,1295981563,False
172.16.0.1,67,172.16.255.1,68,udp,1295981640,False
192.168.3.131,56021,66.235.139.121,80,tcp,1295981569,True
192.168.3.131,52205,72.14.213.102,443,tcp,1295981562,False
10.0.2.15,48575,10.0.2.2,1900,udp,1295981659,False
192.168.3.131,56065,65.54.95.68,80,tcp,1295981572,False
192.168.3.131,52211,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,56069,65.54.95.75,80,tcp,1295981572,False
192.168.3.131,56113,65.54.95.75,80,tcp,1295981590,False
192.168.3.131,57038,74.217.50.10,80,tcp,1295981561,False
192.168.3.131,58381,204.9.163.166,80,tcp,1295981595,False
192.168.3.131,56093,65.54.95.68,80,tcp,1295981581,False
192.168.3.131,52266,65.54.95.39,80,tcp,1295981587,False
192.168.3.131,55973,65.54.95.142,80,tcp,1295981545,False
192.168.3.131,57839,72.14.213.147,80,tcp,1295981545,False
192.168.3.131,56032,65.54.95.140,80,tcp,1295981569,False
192.168.3.131,56067,65.54.95.75,80,tcp,1295981572,False
192.168.3.131,58361,208.82.236.130,80,tcp,1295981588,False
192.168.3.131,56027,65.54.95.140,80,tcp,1295981569,False
192.168.3.131,56028,65.54.95.142,80,tcp,1295981569,False
192.168.3.131,56068,65.54.95.68,80,tcp,1295981572,False
192.168.3.131,56140,65.54.95.68,80,tcp,1295981597,False
192.168.3.131,52208,72.14.213.102,443,tcp,1295981562,False
192.168.3.131,58351,208.82.236.130,80,tcp,1295981585,False
172.16.255.1,54048,224.0.0.252,5355,udp,1295981640,False
192.168.3.131,56111,65.54.95.75,80,tcp,1295981590,False
192.168.3.131,56036,65.54.95.140,80,tcp,1295981569,False
192.168.3.131,58350,208.82.236.129,80,tcp,1295981585,False
192.168.3.131,56050,66.235.139.121,80,tcp,1295981570,False
72.14.213.156,80,192.168.3.131,57071,tcp,1295981627,False
172.16.255.1,54052,239.255.255.250,1900,udp,1295981644,False
192.168.3.131,56160,65.54.95.68,80,tcp,1295981606,False
192.168.3.131,56165,65.54.95.140,80,tcp,1295981607,False
192.168.3.131,58378,208.82.236.130,80,tcp,1295981595,False
192.168.3.131,56161,66.235.139.121,80,tcp,1295981607,True
192.168.3.131,56166,65.54.95.216,80,tcp,1295981607,False
192.168.3.131,56112,65.54.95.68,80,tcp,1295981590,False
192.168.3.131,56133,65.54.95.216,80,tcp,1295981596,False
192.168.3.131,58416,208.82.236.129,80,tcp,1295981611,False
172.16.255.1,54055,172.16.0.1,5351,udp,1295981644,False
192.168.3.131,56141,65.54.95.75,80,tcp,1295981598,False
192.168.3.131,56163,207.46.148.38,80,tcp,1295981607,False
192.168.3.131,56139,65.54.95.75,80,tcp,1295981597,False
172.16.255.1,50983,190.213.192.39,9009,udp,1295981645,False
192.168.3.131,56175,65.54.95.75,80,tcp,1295981610,False
192.168.3.131,56134,66.235.133.62,80,tcp,1295981596,True
192.168.3.131,56060,65.54.95.39,80,tcp,1295981571,False
192.168.3.131,56110,65.54.95.68,80,tcp,1295981590,False
192.168.3.131,56126,66.235.139.121,80,tcp,1295981595,True
172.16.255.1,68,255.255.255.255,67,udp,1295981640,False
172.16.255.1,50983,190.39.220.172,443,udp,1295981645,False
172.16.255.1,10617,204.9.163.158,80,tcp,1295981635,True
192.168.3.131,56127,65.54.95.140,80,tcp,1295981596,False
192.168.3.131,56128,65.54.95.140,80,tcp,1295981596,False
192.168.3.131,58410,208.82.236.129,80,tcp,1295981609,False
192.168.3.131,56214,65.54.95.75,80,tcp,1295981627,False
192.168.3.131,58486,208.82.236.130,80,tcp,1295981642,False
72.14.213.105,80,192.168.3.131,57838,tcp,1295981602,False
192.168.3.131,56167,12.129.210.71,80,tcp,1295981607,False
192.168.3.131,56255,65.54.95.68,80,tcp,1295981645,False
10.0.2.15,2531,207.46.125.253,7001,udp,1295981658,False
192.168.3.131,58411,204.9.163.166,80,tcp,1295981609,False
192.168.3.131,56235,65.54.95.68,80,tcp,1295981636,False
172.16.255.1,61996,172.16.0.1,5351,udp,1295981679,False
10.0.2.15,2489,65.55.25.60,80,tcp,1295981628,False
172.16.255.1,137,172.16.255.255,137,udp,1295981768,False
192.168.3.131,56234,65.54.95.75,80,tcp,1295981636,False
192.168.3.131,56257,65.54.95.75,80,tcp,1295981645,False
172.16.255.1,50983,204.9.163.160,35777,udp,1295981673,False
72.14.213.103,80,192.168.3.131,57885,tcp,1295981651,False
192.168.3.131,58434,208.82.236.129,80,tcp,1295981619,False
172.16.255.1,50983,66.209.190.84,53679,udp,1295981662,False
192.168.3.131,56213,65.54.95.75,80,tcp,1295981627,False
72.14.213.156,80,192.168.3.131,57230,tcp,1295981660,False
172.16.255.1,50983,66.209.190.84,4813,udp,1295981660,False
172.16.255.1,10661,67.215.65.132,443,tcp,1295981661,False
72.14.213.103,80,192.168.3.131,57879,tcp,1295981651,False
172.16.255.1,60061,239.255.255.250,1900,udp,1295981734,False
10.0.2.15,138,10.0.2.255,138,udp,1295981711,False
172.16.255.1,10628,194.165.188.76,12350,tcp,1295981648,False
172.16.255.1,10643,204.9.163.181,443,tcp,1295981655,False
192.168.3.131,57249,204.14.234.85,443,tcp,1295981835,False
172.16.255.1,10687,109.90.123.126,443,tcp,1295981671,False
192.168.3.131,56401,66.235.139.121,80,tcp,1295981704,True
192.168.3.131,57247,204.14.234.85,8443,tcp,1295981799,False
172.16.255.1,10652,184.85.226.161,443,tcp,1295981658,False
172.16.255.1,10635,194.165.188.76,443,tcp,1295981652,False
192.168.3.131,58770,72.14.213.138,80,tcp,1295981775,False
192.168.3.131,56430,65.54.95.68,80,tcp,1295981710,False
10.0.2.15,2547,96.17.8.49,5480,tcp,1295981776,False
172.16.255.1,10654,128.241.90.211,80,tcp,1295981658,True
10.0.2.15,2526,65.54.186.19,5443,tcp,1295981765,False
192.168.3.131,57245,204.14.234.85,8443,tcp,1295981790,False
192.168.3.131,56497,65.54.95.140,80,tcp,1295981735,False
192.168.3.131,56509,65.54.95.75,80,tcp,1295981736,False
10.0.2.15,2528,65.54.189.173,61863,tcp,1295981766,False
192.168.3.131,56023,184.24.143.139,80,tcp,1295981569,False
172.16.255.1,10693,10.1.1.2,50023,tcp,1295981728,False
192.168.3.131,55957,65.55.5.232,80,tcp,1295981543,False
192.168.3.131,56494,66.235.139.121,80,tcp,1295981735,True
172.16.255.1,10636,212.8.166.36,443,tcp,1295981652,False
10.0.2.15,2546,91.103.140.2,5480,tcp,1295981775,False
172.16.255.1,10651,184.85.226.161,443,tcp,1295981658,False
192.168.3.131,57249,204.14.234.85,8443,tcp,1295981835,False
192.168.3.131,52497,72.14.213.120,443,tcp,1295981701,False
192.168.3.131,57244,204.14.234.85,8443,tcp,1295981761,False
192.168.3.131,56500,65.54.95.140,80,tcp,1295981735,False
192.168.3.131,57246,204.14.234.85,443,tcp,1295981790,False
192.168.3.131,52202,72.14.213.102,443,tcp,1295981562,False
172.16.255.1,10655,128.241.90.211,80,tcp,1295981658,True
192.168.3.131,57243,204.14.234.85,443,tcp,1295981760,False
172.16.255.1,10648,66.235.143.184,443,tcp,1295981658,False
192.168.3.131,56511,65.54.95.68,80,tcp,1295981737,False
192.168.3.131,55960,206.108.207.139,80,tcp,1295981543,True
172.16.255.1,10638,130.117.72.100,443,tcp,1295981653,False
192.168.3.131,56034,65.55.206.199,80,tcp,1295981569,False
172.16.255.1,10684,109.229.25.126,443,tcp,1295981669,True
192.168.3.131,56503,65.54.95.140,80,tcp,1295981735,False
172.16.255.1,10658,109.173.29.34,443,tcp,1295981660,True
192.168.3.131,56499,76.74.140.168,80,tcp,1295981735,False
10.0.2.15,2548,65.54.167.27,5480,tcp,1295981778,False
172.16.255.1,10641,204.9.163.181,443,tcp,1295981655,False
172.16.255.1,10674,212.8.163.80,43400,tcp,1295981665,False
192.168.3.131,56421,72.14.213.149,80,tcp,1295981709,False
192.168.3.131,57250,66.235.136.89,8443,tcp,1295981838,False
192.168.3.131,56022,65.55.206.199,80,tcp,1295981569,False
192.168.3.131,56502,65.54.95.140,80,tcp,1295981735,False
192.168.3.131,57248,204.14.234.85,8443,tcp,1295981799,False
172.16.255.1,10671,109.227.83.224,443,tcp,1295981662,True
192.168.3.131,56424,72.14.213.148,80,tcp,1295981709,False
10.0.2.15,2547,96.17.8.49,80,tcp,1295981666,False
172.16.255.1,10688,213.146.189.205,443,tcp,1295981674,False
172.16.255.1,10696,109.227.83.224,443,tcp,1295981733,True
192.168.3.131,56320,207.46.0.109,80,tcp,1295981674,False
172.16.255.1,10653,128.241.90.211,80,tcp,1295981658,True
10.0.2.15,2537,65.55.15.244,5480,tcp,1295981769,False
192.168.3.131,55968,72.14.213.101,80,tcp,1295981545,True
192.168.3.131,56504,65.54.95.140,80,tcp,1295981735,False
192.168.3.131,52399,72.14.213.132,443,tcp,1295981653,False
192.168.3.131,58547,204.9.163.166,80,tcp,1295981669,False
192.168.3.131,56501,65.54.95.140,80,tcp,1295981735,False
10.0.2.15,2526,65.54.186.19,443,tcp,1295981655,False
192.168.3.131,57250,66.235.136.89,443,tcp,1295981838,False
192.168.3.131,56168,206.108.207.155,80,tcp,1295981608,False
172.16.255.1,10686,204.9.163.160,35777,tcp,1295981670,False
192.168.3.131,56054,206.108.207.145,80,tcp,1295981571,False
172.16.255.1,10649,184.85.226.161,443,tcp,1295981658,False
172.16.255.1,10673,212.8.163.80,54900,tcp,1295981663,False
192.168.3.131,58831,204.9.163.166,80,tcp,1295981801,False
192.168.3.131,58362,208.82.238.129,80,tcp,1295981588,False
172.16.255.1,10623,194.165.188.79,33033,tcp,1295981644,False
172.16.255.1,10705,67.215.65.132,445,tcp,1295981803,False
172.16.255.1,10678,212.8.163.80,54900,tcp,1295981668,False
172.16.255.1,10633,212.8.166.36,12350,tcp,1295981650,False
172.16.255.1,10691,184.85.226.161,443,tcp,1295981693,False
172.16.255.1,10622,147.31.122.1,443,tcp,1295981642,False
172.16.255.1,10650,184.85.226.161,443,tcp,1295981658,False
192.168.3.131,55962,65.55.5.232,80,tcp,1295981543,False
172.16.255.1,10634,204.9.163.184,12350,tcp,1295981651,False
192.168.3.131,55961,184.24.133.32,80,tcp,1295981543,False
172.16.255.1,10625,194.165.188.79,33033,tcp,1295981646,False
172.16.255.1,10659,109.255.178.86,443,tcp,1295981660,False
172.16.255.1,10675,212.8.163.80,43400,tcp,1295981665,False
192.168.3.131,56049,206.108.207.163,80,tcp,1295981570,False
192.168.3.131,55971,65.55.17.37,80,tcp,1295981545,False
10.0.2.15,2542,207.46.113.78,5443,tcp,1295981773,False
192.168.3.131,57247,204.14.234.85,443,tcp,1295981799,False
192.168.3.131,52402,72.14.213.132,443,tcp,1295981653,False
172.16.255.1,10685,204.9.163.160,35777,tcp,1295981670,False
172.16.255.1,10689,109.227.83.224,443,tcp,1295981675,True
172.16.255.1,10621,147.31.122.1,18165,tcp,1295981641,False
172.16.255.1,10632,194.165.188.76,12350,tcp,1295981650,False
172.16.255.1,10676,204.9.163.160,35777,tcp,1295981666,False
192.168.3.131,56058,206.108.207.138,80,tcp,1295981571,False
10.0.2.15,2542,207.46.113.78,443,tcp,1295981663,False
192.168.3.131,56361,66.235.133.62,80,tcp,1295981687,True
10.0.2.15,2528,65.54.189.173,1863,tcp,1295981656,False
172.16.255.1,10697,109.173.29.34,443,tcp,1295981733,False
10.0.2.15,2544,207.46.113.78,443,tcp,1295981664,False
172.16.255.1,10667,194.192.199.252,443,tcp,1295981661,False
172.16.255.1,10694,10.1.1.2,50023,tcp,1295981732,False
10.0.2.15,2546,91.103.140.2,80,tcp,1295981665,False
172.16.255.1,10664,67.215.65.132,443,tcp,1295981661,False
172.16.255.1,10629,212.8.166.36,12350,tcp,1295981648,False
10.0.2.15,2536,65.55.15.244,80,tcp,1295981659,False
10.0.2.15,2539,198.104.200.146,5480,tcp,1295981769,False
192.168.3.131,57248,204.14.234.85,443,tcp,1295981799,False
192.168.3.131,56323,66.235.133.62,80,tcp,1295981675,True
192.168.3.131,56411,65.55.206.199,80,tcp,1295981708,False
192.168.3.131,56328,76.74.140.168,80,tcp,1295981675,False
192.168.3.131,57243,204.14.234.85,8443,tcp,1295981760,False
172.16.255.1,10627,194.165.188.79,443,tcp,1295981647,False
192.168.3.131,55954,65.55.17.37,80,tcp,1295981543,False
172.16.255.1,10646,184.85.226.161,443,tcp,1295981657,False
192.168.3.131,56169,206.108.207.155,80,tcp,1295981608,True
192.168.3.131,55953,65.55.206.209,80,tcp,1295981543,False
172.16.255.1,10647,184.85.226.161,443,tcp,1295981657,False
192.168.3.131,56136,206.108.207.163,80,tcp,1295981596,True
192.168.3.131,57245,204.14.234.85,443,tcp,1295981790,False
192.168.3.131,56061,195.27.155.11,80,tcp,1295981571,False
172.16.255.1,10677,204.9.163.160,35777,tcp,1295981666,False
192.168.3.131,57246,204.14.234.85,8443,tcp,1295981790,False
10.0.2.15,2544,207.46.113.78,5443,tcp,1295981774,False
172.16.255.1,10682,109.227.83.224,443,tcp,1295981669,False
172.16.255.1,10692,10.1.1.2,50023,tcp,1295981728,False
192.168.3.131,56324,65.55.118.107,80,tcp,1295981675,False
172.16.255.1,10639,204.9.163.181,443,tcp,1295981654,False
10.0.2.15,2548,65.54.167.27,80,tcp,1295981668,False
10.0.2.15,2536,65.55.15.244,5480,tcp,1295981769,False
